"paisagem" "forest" "eucalyptus" "urban" "other" "pasture" "water" "coffe" "sugarcane" "total"
"148" 35.5015095604649 23.3279818978927 6.3710106465193 0.596941929664512 34.0808212699482 0.121734695510393 0 0 12.5539689623433
"215" 43.937588924007 0 11.4474699013856 0 44.0912360114383 0.523705163169105 0 0 12.5546567835964
"220" 29.1482799609368 21.7472922810594 3.17466830251809 0.0217971414502162 45.7086459743636 0.199316339671857 0 0 12.5529585267595
"263" 62.7249511916992 10.7029010267972 26.5721477815036 0 0 0 0 0 12.5539462391603
"266" 27.3405126190868 26.356665157206 1.25585267464548 0 45.0135057410006 0.0334638080611795 0 0 13.0245895214362
"282" 14.6533091172178 16.8549658625076 10.9445957797192 8.90830926751282 48.0055117316012 0.633308241441436 0 0 12.5553614517461
"291" 45.5152442516884 12.1725723854416 0.662314591630508 0 41.5299831810629 0.119885590176637 0 0 13.035092307167
"317" 41.8729756370718 22.0289714553393 3.75668195760657 0 32.2525732723434 0.0887976776388608 0 0 12.5515949140571
"329" 18.1071891334743 14.5900103934203 8.30085346816911 8.0168058184398 44.7799079784076 6.20523320808884 0 0 12.5550325513195
"333" 9.29320900955352 4.27612992895785 9.23940677943604 4.48566600707777 69.1082536987084 3.59733457626642 0 0 12.5535368907935
"335" 29.5706295099579 37.6829880001679 1.08705563715892 0 31.6593268527153 0 0 0 12.5529388222497
"359" 17.4360522628039 20.7002892106482 3.77716848866263 0 57.9769953880185 0.109494649866773 0 0 12.552697522909
"399" 23.0718166849993 12.1093780624023 3.24694659090452 2.62870210232183 58.7109273541859 0.232229205186149 0 0 12.5545992908551
"p02" 44.7701003805049 0 1.32889210156382 1.6604848978026 35.5193828126207 0.182671745335151 16.3948539347559 0.143614127416913 12.5578188813788
"p09" 11.9909231422749 0.5068820156133 4.96136573097116 3.06916299089762 49.4968405482393 12.7017477960463 17.2730777759575 0 12.555846196458
"p10" 28.0288486446869 3.58640996228502 2.00478326521238 3.39294084413397 30.9298799382308 0.161244396371667 31.8958929490792 0 12.5551074949885
"p11" 37.2403708138885 0.283745716819981 1.19945954979087 0 22.8342071389857 0.70352974472827 20.2490489234369 17.4896381123498 12.5577711382404
"p12" 29.956055418673 0.0020629728654854 5.50289608181883 0.823718412341433 30.6728025722895 0.131346972730711 12.3523545115008 20.5587630577803 12.5578263293445
"p19" 55.516414153199 0 0.815307276337719 1.36481257267098 20.4173406238402 0.0158271853538663 18.2621464745495 3.60815171404866 12.557388282621
"p26" 21.8470332169237 0.454568758205787 1.7740530199809 1.16064697865511 46.7013709041002 9.33014794824885 18.7321791738854 0 12.5558804739898
"p27" 24.6741848010952 10.1315081848544 1.17298662484682 2.06016993850613 34.8974166639955 0.381829073821982 26.68190471288 0 12.55733602835
"p28" 29.9545061595646 0 1.14954325041141 0.593881257122381 34.4602683519328 0.961331437720442 32.8804695432484 0 12.5553153562378
"p30" 23.7529671238728 0.936283460966707 1.43140031902605 2.33601593158159 48.8034639780036 0.21452495960667 22.5253442269427 0 12.5566440914513
