"common_name","species_name","sp","habitat_specif","body_size","diet","nest","stratum","frugivory","insectivory","lower_stratum"
"Grey-bellied Spinetail","Synallaxis cinerascens","Synal_cine","specialist",13.2,"insectivorous","closed","ground_under",0,100,100
"Sooty-fronted Spinetail","Synallaxis frontalis","Synal_fron","generalist",15,"insectivorous","closed","ground_under",0,100,100
"Buff-browed Foliage-gleaner","Syndactyla rufosuperciliata","Syndact_rufo","specialist",27.7,"insectivorous","cavities","ground_under",0,100,50
"Ruby-crowned Tanager","Tachyphonus coronatus","Tachyph_cor","generalist",29.3,"insectivorous","open_semi","ground_under",20,60,20
"Brassy-breasted Tanager","Tangara desmaresti","Tan_desmaresti","specialist",19.8,"frugivorous","open_semi","mid_canopy",60,40,0
"Golden-chevroned Tanager","Tangara ornata","Tan_ornata","generalist",33,"frugivorous","open_semi","mid_canopy",80,20,20
"Burnished-buff Tanager","Tangara cayana","Tang_cayana","generalist",19,"frugivorous","open_semi","mid_canopy",90,10,30
"Gilt-edged Tanager","Tangara cyanoventris","Tanga_cyanoVEN","specialist",16.5,"frugivorous","open_semi","mid_canopy",50,50,20
"Striped Cuckoo","Tapera naevia","Tapera_nae","generalist",52.5,"insectivorous","closed","ground_under",0,100,80
"Streak-capped Antwren","Terenura maculata","Terenura_mac","specialist",6.5,"insectivorous","open_semi","mid_canopy",0,100,0
"Swallow Tanager","Tersina viridis","Tersina_virid","generalist",29,"frugivorous","cavities","mid_canopy",70,30,10
"Violet-capped Woodnymph","Thalurania glaucopis","Thalur_gla","generalist",4.9,"nectarivorous","open_semi","all",0,10,60
"Rufous-capped Antshrike","Thamnophilus ruficapillus","Tham_ruficap","generalist",21.2,"insectivorous","open_semi","ground_under",10,90,20
"Barred Antshrike","Thamnophilus doliatus","Thamn_doli","generalist",26.5,"insectivorous","open_semi","ground_under",0,100,60
"Variable Antshrike","Thamnophilus caerulescens","Thamnop_caerul","specialist",21.4,"insectivorous","open_semi","ground_under",10,80,60
"Orange-headed Tanager","Thlypopsis sordida","Thly_sordida","generalist",17,"onivorous","open_semi","mid_canopy",30,50,0
"Sayaca Tanager","Tangara sayaca","Thrau_saya","generalist",32,"onivorous","open_semi","mid_canopy",50,10,10
"Black-goggled Tanager","Trichothraupis melanops","Thricoth_melan","specialist",24.3,"insectivorous","open_semi","ground_under",20,70,60
"Common Tody-flycatcher","Todirostrum cinereum","Tod_cinereum","generalist",6.6,"insectivorous","closed","ground_under",10,90,33
"Grey-headed Tody-flycatcher","Todirostrum poliocephalum","Todirostum_polio","generalist",6.9,"insectivorous","closed","ground_under",0,100,40
"Yellow-olive Flycatcher","Tolmomyias sulphurescens","Tolmo_sulph","specialist",14.8,"insectivorous","closed","mid_canopy",10,90,30
"Southern Surucua Trogon","Trogon surrucura","Trogo_surr","specialist",73.3,"insectivorous","cavities","mid_canopy",20,80,0
"Black-throated Trogon","Trogon rufus","Trogon_rufus","specialist",55.5,"insectivorous","cavities","mid_canopy",40,60,70
"White-throated Thrush","Turdus albicollis","Turd_albic","specialist",50,"insectivorous","open_semi","ground_under",40,60,80
"Creamy-bellied Thrush","Turdus amaurochalinus","Turd_amauro","generalist",63.1,"insectivorous","open_semi","ground_under",60,40,40
"Yellow-legged Thrush","Turdus flavipes","Turd_flavipes","specialist",51.2,"frugivorous","open_semi","mid_canopy",80,20,40
"Pale-breasted Thrush","Turdus leucomelas","Turd_leuco","generalist",62,"frugivorous","open_semi","ground_under",30,70,80
"Rufous-bellied Thrush","Turdus rufiventris","Turdus_ruf","generalist",72.2,"onivorous","open_semi","ground_under",50,50,100
"Tropical Kingbird","Tyrannus melancholicus","Tyran_melan","generalist",40,"insectivorous","open_semi","mid_canopy",0,100,0
"White-spotted Woodpecker","Veniliornis spilogaster","Venilior_spil","generalist",13.2,"insectivorous","cavities","mid_canopy",20,80,50
"Red-eyed Vireo","Vireo olivaceus","Vireo_chiv","generalist",17,"insectivorous","open_semi","mid_canopy",20,60,0
"Streaked Xenops","Xenops rutilans","Xenops_ruti","specialist",12.8,"insectivorous","cavities","mid_canopy",0,100,20
"Lesser Woodcreeper","Xiphorhynchus fuscus","Xyphor_fusc","specialist",21.8,"insectivorous","cavities","ground_under",0,100,50
